metric,n_samples,max_tokens,runtime
surprisal_when_first_token,4,15,0.14550666933033485
surprisal_when_first_token,8,5,0.05169169192903548
surprisal_when_first_token,8,10,0.10078194520239879
surprisal_when_first_token,8,15,0.14849371447776114
surprisal_when_first_token,16,5,0.05272390745377311
surprisal_when_first_token,16,10,0.10148341228135932
surprisal_when_first_token,16,15,0.15088419739630185
surprisal_when_first_token,32,5,0.054891896606696654
surprisal_when_first_token,32,10,0.104564157003998
surprisal_when_first_token,32,15,0.15316090756371814
surprisal_when_first_token,64,5,0.0639961268215892
surprisal_when_first_token,64,10,0.1172849167766117
surprisal_when_first_token,64,15,0.17042293598950525
surprisal_when_first_token,128,5,0.07954557314342829
surprisal_when_first_token,128,10,0.1368473443278361
surprisal_when_first_token,128,15,0.19285508275112442
surprisal_when_first_token,256,5,0.11817495568465768
surprisal_when_first_token,256,10,0.188234144007996
surprisal_when_first_token,256,15,0.25825567602198896
surprisal_when_first_token,512,5,0.20702999163668165
surprisal_when_first_token,512,10,0.321113786001999
surprisal_when_first_token,512,15,0.4407607911394303
surprisal_when_in_sequence,4,5,0.05035382083208396
surprisal_when_in_sequence,4,10,0.09769656367816092
surprisal_when_in_sequence,4,15,0.14550741207146428
surprisal_when_in_sequence,8,5,0.05169243173163418
surprisal_when_in_sequence,8,10,0.10078255816841579
surprisal_when_in_sequence,8,15,0.1484944371314343
surprisal_when_in_sequence,16,5,0.05272461678660669
surprisal_when_in_sequence,16,10,0.10148406247876061
surprisal_when_in_sequence,16,15,0.1508849093978011
surprisal_when_in_sequence,32,5,0.054892538560719635
surprisal_when_in_sequence,32,10,0.1045648488155922
surprisal_when_in_sequence,32,15,0.15316165324337833
surprisal_when_in_sequence,64,5,0.0639968610369815
surprisal_when_in_sequence,64,10,0.11728566385557221
surprisal_when_in_sequence,64,15,0.17042366235382309
surprisal_when_in_sequence,128,5,0.07954638333333335
surprisal_when_in_sequence,128,10,0.13684821416791604
surprisal_when_in_sequence,128,15,0.19285573993253372
surprisal_when_in_sequence,256,5,0.11817604619690156
surprisal_when_in_sequence,256,10,0.18823517465267367
surprisal_when_in_sequence,256,15,0.258256676011994
surprisal_when_in_sequence,512,5,0.20703134735132434
surprisal_when_in_sequence,512,10,0.321115054167916
surprisal_when_in_sequence,512,15,0.4407621088330834
when_first_token,4,5,0.050352730639680154
when_first_token,4,10,0.0976953617966017
when_first_token,4,15,0.14550619674162918
when_first_token,8,5,0.05169125483008496
when_first_token,8,10,0.10078161572213894
when_first_token,8,15,0.1484932748875562
when_first_token,16,5,0.052723457986007
when_first_token,16,10,0.10148293704397801
when_first_token,16,15,0.1508838005572214
when_first_token,32,5,0.05489148834832584
when_first_token,32,10,0.1045637456421789
when_first_token,32,15,0.15316061272613693
when_first_token,64,5,0.06399570396051973
when_first_token,64,10,0.11728445854072964
when_first_token,64,15,0.17042233476261867
when_first_token,128,5,0.07954498450024988
when_first_token,128,10,0.13684683029485256
when_first_token,128,15,0.19285440059470266
when_first_token,256,5,0.11817433854822589
when_first_token,256,10,0.18823348591704148
when_first_token,256,15,0.25825495252123937
when_first_token,512,5,0.20702941512243878
when_first_token,512,10,0.321113268908046
when_first_token,512,15,0.44076015841329336
when_in_sequence,4,5,0.05036493608445777
when_in_sequence,4,10,0.097708033988006
when_in_sequence,4,15,0.14551904910794602
when_in_sequence,8,5,0.05170379027736132
when_in_sequence,8,10,0.1007942902323838
when_in_sequence,8,15,0.14850646427286357
when_in_sequence,16,5,0.05273633633183408
when_in_sequence,16,10,0.10149597568715642
when_in_sequence,16,15,0.15089759255872062
when_in_sequence,32,5,0.05490565769365317
when_in_sequence,32,10,0.10457906932033983
when_in_sequence,32,15,0.153174957976012
when_in_sequence,64,5,0.0640104335882059
when_in_sequence,64,10,0.11729910426786606
when_in_sequence,64,15,0.17043772020989506
when_in_sequence,128,5,0.07956283510244877
when_in_sequence,128,10,0.13686543107196403
when_in_sequence,128,15,0.19287259158670664
when_in_sequence,256,5,0.11819791547226387
when_in_sequence,256,10,0.18825720270364818
when_in_sequence,256,15,0.2582776972913543
when_in_sequence,512,5,0.2070624455772114
when_in_sequence,512,10,0.32114669688655667
when_in_sequence,512,15,0.4407964833608196
