metric,n_samples,max_tokens,runtime
sequence_expected_prob,32,15,0.027397340621212792
sequence_expected_prob,64,5,0.02749279729404151
sequence_expected_prob,64,10,0.027262845849666883
sequence_expected_prob,64,15,0.027756200082614493
sequence_expected_prob,128,5,0.02901611251300198
sequence_expected_prob,128,10,0.02867426938644488
sequence_expected_prob,128,15,0.029053047949122165
sequence_expected_prob,256,5,0.034645295871893585
sequence_expected_prob,256,10,0.03555098586806417
sequence_expected_prob,256,15,0.03739535676707235
sequence_expected_prob,512,5,0.050024116074086994
sequence_expected_prob,512,10,0.05421690379715812
sequence_expected_prob,512,15,0.057811288743690334
surprisal_when_first_token,4,5,0.026325959080136345
surprisal_when_first_token,4,10,0.02787480807842962
surprisal_when_first_token,4,15,0.027827800160544317
surprisal_when_first_token,8,5,0.02773586722384448
surprisal_when_first_token,8,10,0.027688721332941847
surprisal_when_first_token,8,15,0.027369184128044507
surprisal_when_first_token,16,5,0.027453795076770787
surprisal_when_first_token,16,10,0.0279592640097444
surprisal_when_first_token,16,15,0.028357259405927426
surprisal_when_first_token,32,5,0.027258809651958964
surprisal_when_first_token,32,10,0.02854603186098752
surprisal_when_first_token,32,15,0.027397350712778854
surprisal_when_first_token,64,5,0.027492813070857873
surprisal_when_first_token,64,10,0.02726284500861955
surprisal_when_first_token,64,15,0.02775620436545212
surprisal_when_first_token,128,5,0.029016100381714312
surprisal_when_first_token,128,10,0.028674262157050837
surprisal_when_first_token,128,15,0.02905303517024
surprisal_when_first_token,256,5,0.03464529094461784
surprisal_when_first_token,256,10,0.03555098144977432
surprisal_when_first_token,256,15,0.03739535819216049
surprisal_when_first_token,512,5,0.050024088170907956
surprisal_when_first_token,512,10,0.05421690355368629
surprisal_when_first_token,512,15,0.05781125793634185
surprisal_when_in_sequence,4,5,0.026326033808917484
surprisal_when_in_sequence,4,10,0.027874915930022445
surprisal_when_in_sequence,4,15,0.027827871437811173
surprisal_when_in_sequence,8,5,0.027735928135579693
surprisal_when_in_sequence,8,10,0.02768878116332123
surprisal_when_in_sequence,8,15,0.02736924455341859
surprisal_when_in_sequence,16,5,0.02745386081742816
surprisal_when_in_sequence,16,10,0.0279593531065099
surprisal_when_in_sequence,16,15,0.028357322295096382
surprisal_when_in_sequence,32,5,0.0272589286255346
surprisal_when_in_sequence,32,10,0.028546101715227624
surprisal_when_in_sequence,32,15,0.0273974105823466
surprisal_when_in_sequence,64,5,0.027492868865900726
surprisal_when_in_sequence,64,10,0.027262908620480603
surprisal_when_in_sequence,64,15,0.02775625208651668
surprisal_when_in_sequence,128,5,0.029016145986853693
surprisal_when_in_sequence,128,10,0.028674309735938663
surprisal_when_in_sequence,128,15,0.029053109514422935
surprisal_when_in_sequence,256,5,0.03464530105248208
surprisal_when_in_sequence,256,10,0.035551029861773144
surprisal_when_in_sequence,256,15,0.03739535814550176
surprisal_when_in_sequence,512,5,0.05002402551490937
surprisal_when_in_sequence,512,10,0.0542168298641676
surprisal_when_in_sequence,512,15,0.057811198551577486
when_first_token,4,5,0.026325960851249663
when_first_token,4,10,0.027874810862904394
when_first_token,4,15,0.027827797613566442
when_first_token,8,5,0.02773586698030932
when_first_token,8,10,0.027688728492492348
